paises|continente
España|Europa
Alemania|Europa
Reino Unido|Europa
Francia|Europa
Italia|Europa
Portugal|Europa
Zona Euro|Europa
Estados Unidos|América del Norte
Japón|Asia
China|Asia
Andorra|Europa
Emiratos Árabes Unidos|Asia
Afganistán|Asia
Antigua y Barbuda|América del Norte
Albania|Europa
Armenia|Asia
Angola|África
Argentina|América del Sur
Austria|Europa
Australia|Oceanía
Azerbaiyán|Asia
Bosnia y Herzegovina|Europa
Barbados|América del Norte
Bangladés|Asia
Bélgica|Europa
Burkina Faso|África
Bulgaria|Europa
Baréin|Asia
Burundi|África
Benin|África
Brunéi|Asia
Bolivia|América del Sur
Brasil|América del Sur
Bahamas|América del Norte
Bután|Asia
Botsuana|África
Bielorrusia|Europa
Belice|América del Norte
Canadá|América del Norte
República Democrática del Congo|África
República Centroafricana|África
República del Congo|África
Suiza|Europa
Costa de Marfil|África
Chile|América del Sur
Camerún|África
Colombia|América del Sur
Costa Rica|América del Norte
Cabo Verde|África
Chipre|Europa
Chequia|Europa
Yibuti|África
Dinamarca|Europa
Dominica|América del Norte
República Dominicana|América del Norte
Argelia|África
Ecuador|América del Sur
Estonia|Europa
Egipto|África
Eritrea|África
Etiopía|África
Finlandia|Europa
Fiyi|Oceanía
Estados Federados de Micronesia|Oceanía
Gabón|África
Granada|América del Norte
Georgia|Asia
Ghana|África
Gambia|África
Guinea|África
Guinea Ecuatorial|África
Grecia|Europa
Guatemala|América del Norte
Guinea-Bisáu|África
Guyana|América del Sur
Hong Kong|Asia
Honduras|América del Norte
Croacia|Europa
Haití|América del Norte
Hungría|Europa
Indonesia|Asia
Irlanda|Europa
Israel|Asia
India|Asia
Irak|Asia
Irán|Asia
Islandia|Europa
Jamaica|América del Norte
Jordania|Asia
Kenia|África
Kirguistán|Asia
Camboya|Asia
Kiribati|Oceanía
Comoras|África
San Cristóbal y Nieves|América del Norte
Corea del Norte|Asia
Corea del Sur|Asia
Kuwait|Asia
Kazajistán|Asia
Laos|Asia
Líbano|Asia
Santa Lucía|América del Norte
Liechtenstein|Europa
Sri Lanka|Asia
Liberia|África
Lesoto|África
Lituania|Europa
Luxemburgo|Europa
Letonia|Europa
Libia|África
Marruecos|África
Mónaco|Europa
Moldavia|Europa
Montenegro|Europa
Madagascar|África
Islas Marshall|Oceanía
Macedonia del Norte|Europa
Malí|África
Myanmar|Asia
Mongolia|Asia
Mauritania|África
Malta|Europa
Mauricio|África
Maldivas|Asia
Malaui|África
México|América del Norte
Malasia|Asia
Mozambique|África
Namibia|África
Níger|África
Nigeria|África
Nicaragua|América del Norte
Países Bajos|Europa
Noruega|Europa
Nepal|Asia
Nauru|Oceanía
Nueva Zelanda|Oceanía
Omán|Asia
Panamá|América del Norte
Perú|América del Sur
Papúa Nueva Guinea|Oceanía
Filipinas|Asia
Pakistán|Asia
Polonia|Europa
Estado de Palestina|Asia
Palaos|Oceanía
Paraguay|América del Sur
Catar|Asia
Rumanía|Europa
Serbia|Europa
Rusia|Europa
Ruanda|África
Arabia Saudita|Asia
Islas Salomón|Oceanía
Seychelles|África
Sudán|África
Suecia|Europa
Singapur|Asia
Eslovenia|Europa
Eslovaquia|Europa
Sierra Leona|África
San Marino|Europa
Senegal|África
Somalia|África
Surinam|América del Sur
Sudán del Sur|África
Santo Tomé y Príncipe|África
El Salvador|América del Norte
Siria|Asia
Eswatini|África
Chad|África
Togo|África
Tailandia|Asia
Tayikistán|Asia
Timor Oriental|Asia
Turkmenistán|Asia
Túnez|África
Tonga|Oceanía
Türkiye|Asia
Trinidad y Tobago|América del Norte
Tuvalu|Oceanía
Taiwan|Asia
Tanzania|África
Ucrania|Europa
Uganda|África
Uruguay|América del Sur
Uzbekistán|Asia
San Vicente y las Granadinas|América del Norte
Venezuela|América del Sur
Viet Nam|Asia
Vanuatu|Oceanía
Samoa|Oceanía
Yemen|Asia
Sudáfrica|África
Zambia|África
Zimbabue|África
