S.No.|marca modelo|año fabricacion|kilometros|tipo combustible|transmisión|tipo de dueño|rendimiento|motor|potencia|asientos|precio venta
0|Maruti Wagon R LXI GNC|2010|72000|GNC|Manual|Primer|26.6 kmpl|998 CC|58.16 bhp|5.0|1750.0
1|Hyundai Creta 1.6 CRDi SX Option|2015|41000|Diesel|Manual|Primer|19.67 kmpl|1582 CC|126.2 bhp|5.0|12500.0
2|Honda Jazz V|2011|46000|Petroleo|Manual|Primer|18.2 kmpl|1199 CC|88.7 bhp|5.0|4500.0
3|Maruti Ertiga VDI|2012|87000|Diesel|Manual|Primer|20.77 kmpl|1248 CC|88.76 bhp|7.0|6000.0
4|Audi A4 New 2.0 TDI Multitronic|2013|40670|Diesel|Automatico|Segundo|15.2 kmpl|1968 CC|140.8 bhp|5.0|17740.0
5|Hyundai EON LPG Era Plus Option|2012|75000|GLP|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|2350.0
6|Nissan Micra Diesel XV|2013|86999|Diesel|Manual|Primer|23.08 kmpl|1461 CC|63.1 bhp|5.0|3500.0
7|Toyota Innova Crysta 2.8 GX AT 8S|2016|36000|Diesel|Automatico|Primer|11.36 kmpl|2755 CC|171.5 bhp|8.0|17500.0
8|Volkswagen Vento Diesel Comfortline|2013|64430|Diesel|Manual|Primer|20.54 kmpl|1598 CC|103.6 bhp|5.0|5200.0
9|Tata Indica Vista Quadrajet LS|2012|65932|Diesel|Manual|Segundo|22.3 kmpl|1248 CC|74 bhp|5.0|1950.0
10|Maruti Ciaz Zeta|2018|25692|Petroleo|Manual|Primer|21.56 kmpl|1462 CC|103.25 bhp|5.0|9950.0
11|Honda City 1.5 V AT Sunroof|2012|60000|Petroleo|Automatico|Primer|16.8 kmpl|1497 CC|116.3 bhp|5.0|4490.0
12|Maruti Swift VDI BSIV|2015|64424|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|5600.0
13|Land Rover Range Rover 2.2L Pure|2014|72000|Diesel|Automatico|Primer|12.7 kmpl|2179 CC|187.7 bhp|5.0|27000.0
14|Land Rover Freelander 2 TD4 SE|2012|85000|Diesel|Automatico|Segundo|0.0 kmpl|2179 CC|115 bhp|5.0|17500.0
15|Mitsubishi Pajero Sport 4X4|2014|110000|Diesel|Manual|Primer|13.5 kmpl|2477 CC|175.56 bhp|7.0|15000.0
16|Honda Amaze S i-Dtech|2016|58950|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|5400.0
17|Maruti Swift DDiS VDI|2017|25000|Diesel|Manual|Primer|28.4 kmpl|1248 CC|74 bhp|5.0|5990.0
18|Renault Duster 85PS Diesel RxL Plus|2014|77469|Diesel|Manual|Primer|20.45 kmpl|1461 CC|83.8 bhp|5.0|6340.0
19|Mercedes-Benz New C-Class C 220 CDI BE Avantgare|2014|78500|Diesel|Automatico|Primer|14.84 kmpl|2143 CC|167.62 bhp|5.0|28000.0
20|BMW 3 Series 320d|2014|32982|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|18550.0
21|Maruti S Cross DDiS 200 Alpha|2015|55392|Diesel|Manual|Segundo|23.65 kmpl|1248 CC|88.5 bhp|5.0|8250.0
22|Audi A6 2011-2015 35 TFSI Technology|2015|55985|Petroleo|Automatico|Primer|13.53 kmpl|1984 CC|177.01 bhp|5.0|23500.0
23|Hyundai i20 1.2 Magna|2010|45807|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|80 bhp|5.0|1870.0
24|Volkswagen Vento Petrol Highline AT|2010|33000|Petroleo|Automatico|Primer|14.4 kmpl|1598 CC|103.6 bhp|5.0|2850.0
25|Honda City Corporate Edition|2012|51920|Petroleo|Manual|Primer|16.8 kmpl|1497 CC|116.3 bhp|5.0|4250.0
26|Nissan Micra Diesel XV|2012|54000|Diesel|Manual|Primer|23.08 kmpl|1461 CC|63.1 bhp|5.0|4250.0
27|Maruti Alto K10 2010-2014 VXI|2013|54000|Petroleo|Manual|Segundo|20.92 kmpl|998 CC|67.1 bhp|5.0|2750.0
28|Honda WRV i-VTEC VX|2018|37430|Petroleo|Manual|Primer|17.5 kmpl|1199 CC|88.7 bhp|5.0|9900.0
29|Toyota Innova 2.5 V Diesel 7-seater|2007|262000|Diesel|Manual|Cuarto o más|12.8 kmpl|2494 CC|102 bhp|7.0|4000.0
30|Renault Duster 110PS Diesel RxZ Pack|2013|62000|Diesel|Manual|Primer|19.01 kmpl|1461 CC|108.45 bhp|5.0|7750.0
31|Toyota Corolla Altis G|2012|87615|Petroleo|Manual|Primer|14.53 kmpl|1798 CC|138.1 bhp|5.0|6750.0
32|Mahindra Ssangyong Rexton RX7|2013|72000|Diesel|Automatico|Segundo|11.18 kmpl|2696 CC|184 bhp|7.0|12500.0
33|Audi A6 2.7 TDI|2010|35000|Diesel|Automatico|Primer|12.4 kmpl|2698 CC|179.5 bhp|5.0|11500.0
34|Volkswagen Vento 1.6 Highline|2014|55431|Petroleo|Manual|Segundo|16.09 kmpl|1598 CC|103.5 bhp|5.0|6980.0
35|Maruti Wagon R LXI BSIII|2009|83816|Petroleo|Manual|Segundo|14.0 kmpl|1061 CC|64 bhp|5.0|1850.0
36|Maruti Vitara Brezza ZDi Plus|2018|50075|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|8630.0
37|Mahindra KUV 100 mFALCON G80 K6 5str AW|2017|52000|Petroleo|Manual|Primer|18.15 kmpl|1198 CC|82 bhp|5.0|4850.0
38|Mercedes-Benz M-Class ML 350 CDI|2013|85000|Diesel|Automatico|Primer|11.74 kmpl|2987 CC|254.8 bhp|5.0|28000.0
39|Volkswagen Polo Diesel Trendline 1.2L|2013|62000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|5000.0
40|Maruti Alto LXi|2008|90000|Petroleo|Manual|Segundo|19.7 kmpl|796 cc|46.3 bhp|5.0|1250.0
41|Tata Nano LX SE|2014|19698|Petroleo|Manual|Primer|25.4 kmpl|624 CC|37.5 bhp|4.0|1530.0
42|Mahindra KUV 100 mFALCON D75 K8 Dual Tone|2017|22033|Diesel|Manual|Primer|25.32 kmpl|1198 CC|77 bhp|6.0|5580.0
43|Hyundai i20 Magna Optional 1.2|2014|35487|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|82.9 bhp|5.0|4740.0
